Qty,Description,Category,Manufacturer,Mfg part,VID,Vendor Part Num,Unit cost,Designator
1,"0.1"""" Male Header - 2 rows, 14 positions (TI JTAG) - Through Hole, Vertical",Connector,FCI,67996-114HLF,NW,30M1973,$0.71,X2
1,"0.05"" male pin header, 2 rows, 14 positions (TI JTAG) - surface mount, vertical",Connector,Samtec,FTS-107-01-F-DV,NW,56P3763,2.62,X1
2,"14pos 0.05"" IDC plug, female, 2 row",Connector,CNC Tech,3230-14-0101-00,DK,1175-1647-ND,$1.10,
1,"0.025"" pitch ribbon cable, 20-conductor",Connector,3M,3754/20 300,DK,MB20G-5-ND,$3.71,
